asset,run,http_code,ttfb_seconds,total_seconds,size_bytes,speed_bytes_per_second
/login,1,200,3.344785,3.705122,13721,3703
/login,2,200,3.554583,4.269453,13721,3213
/login,3,200,3.074159,3.247044,13721,4225
/login,4,200,3.021673,3.853954,13721,3560
/login,5,200,2.928089,3.213996,13721,4269
/static/login_bg.mp4,1,200,2.610666,6.506254,930922,143081
/static/login_bg.mp4,2,200,2.665539,7.655948,930922,121594
/static/login_bg.mp4,3,200,2.736465,8.273064,930922,112524
/static/login_bg.mp4,4,200,2.988382,8.761063,930922,106256
/static/login_bg.mp4,5,200,2.697695,6.390027,930922,145683
/static/main_logo_enhanced.png,1,200,2.642702,7.481473,863952,115478
/static/main_logo_enhanced.png,2,200,2.584682,7.584193,863952,113914
/static/main_logo_enhanced.png,3,200,2.995794,8.164350,863952,105820
/static/main_logo_enhanced.png,4,200,2.447906,8.060561,863952,107182
/static/main_logo_enhanced.png,5,200,2.634199,6.419052,863952,134591
/static/binzomah_brand_intro.webp?v=3,1,200,2.699954,6.379779,480472,75311
/static/binzomah_brand_intro.webp?v=3,2,200,2.790295,6.434900,480472,74666
/static/binzomah_brand_intro.webp?v=3,3,200,2.870330,4.986039,480472,96363
/static/binzomah_brand_intro.webp?v=3,4,200,2.648465,6.070814,480472,79144
/static/binzomah_brand_intro.webp?v=3,5,200,2.805530,5.176710,480472,92814
/static/binzomah_brand_transparent.png?v=3,1,200,2.618769,4.232840,262632,62046
/static/binzomah_brand_transparent.png?v=3,2,200,2.963028,5.532940,262632,47466
/static/binzomah_brand_transparent.png?v=3,3,200,2.861305,5.158978,262632,50907
/static/binzomah_brand_transparent.png?v=3,4,200,2.692503,5.713567,262632,45966
/static/binzomah_brand_transparent.png?v=3,5,200,2.684511,4.998044,262632,52546
/static/css/brand_motion.css?v=5,1,200,2.333413,2.704615,8420,3113
/static/css/brand_motion.css?v=5,2,200,2.799048,3.208080,8420,2624
/static/css/brand_motion.css?v=5,3,200,3.020050,3.604896,8420,2335
/static/css/brand_motion.css?v=5,4,200,2.806718,3.174725,8420,2652
/static/css/brand_motion.css?v=5,5,200,3.050250,3.235009,8420,2602
/static/js/brand_motion.js?v=3,1,200,3.080092,3.378960,1408,416
/static/js/brand_motion.js?v=3,2,200,2.877169,3.107129,1408,453
/static/js/brand_motion.js?v=3,3,200,2.879744,3.199678,1408,440
/static/js/brand_motion.js?v=3,4,200,3.044424,3.234835,1408,435
/static/js/brand_motion.js?v=3,5,200,2.708878,3.047332,1408,462
